__run_id,__done,adaptation_mode,avg_packet_loss_percentage,total_energy_consumption_mJ
run_0_repetition_0,DONE,provoost,14.91693667,7256.935931528007
run_0_repetition_1,DONE,provoost,15.26035603,7479.797633738429
run_0_repetition_2,DONE,provoost,15.07233311,7078.353204257438
run_0_repetition_3,DONE,provoost,15.195946,7410.731415178968
run_0_repetition_4,DONE,provoost,15.37997738,7839.349817270442
run_0_repetition_5,DONE,provoost,15.01255323,6918.432864082354
run_0_repetition_6,DONE,provoost,15.32480943,7303.175537725867
run_0_repetition_7,DONE,provoost,14.98955284,6989.569769654389
run_0_repetition_8,DONE,provoost,14.76853957,6689.148630635065
run_0_repetition_9,DONE,provoost,15.01369221,7312.818410274121
run_0_repetition_10,DONE,provoost,14.87058993,7087.996076805692
run_0_repetition_11,DONE,provoost,15.12644095,7421.711560984208
run_0_repetition_12,DONE,provoost,15.17495977,7545.212929278229
run_0_repetition_13,DONE,provoost,15.07329457,7473.782833
run_0_repetition_14,DONE,provoost,14.91222967,6821.679370665954
run_0_repetition_15,DONE,provoost,14.95846427,7117.2407364287465
run_0_repetition_16,DONE,provoost,15.13256108,7157.575597611609
run_0_repetition_17,DONE,provoost,15.2452151,7340.6157408856225
run_0_repetition_18,DONE,provoost,14.86621996,7300.6787529804305
run_0_repetition_19,DONE,provoost,15.20548728,7643.0158784285095
run_0_repetition_20,DONE,provoost,15.28830414,7844.828464552576
run_0_repetition_21,DONE,provoost,14.97485777,6666.326502248877
run_0_repetition_22,DONE,provoost,15.26371297,7509.555595607941
run_0_repetition_23,DONE,provoost,15.21704084,7042.9836881102565
run_0_repetition_24,DONE,provoost,15.10004371,7320.390595809799
run_0_repetition_25,DONE,provoost,15.09838244,7635.040446400941
run_0_repetition_26,DONE,provoost,15.07530223,7396.411015118141
run_0_repetition_27,DONE,provoost,15.15734917,7451.066276361828
run_0_repetition_28,DONE,provoost,15.17932889,7515.16715
run_0_repetition_29,DONE,provoost,15.19519361,7663.235650290112
